Spanish,English
que,what
de,from
no,no
a,a
la,the
el,the
es,it is
y,Y
en,in
lo,it
un,and
por,for
qué,than
me,me
una,a
te,the
los,the
se,with
con,with
para,for
mi,me
está,it is
si,and
bien,good
pero,but
yo,they
eso,that
las,the
sí,Yes
su,are
tu,That
aquí,here
del,of the
al,al
como,how
le,the
más,plus
esto,this
ya,of
todo,all
esta,is
vamos,we will
muy,very
hay,good
ahora,now
algo,something
estoy,I'm
tengo,have
nos,us
tú,you
nada,anything
cuando,when
ha,he has
este,It is
sé,see
estás,these
así,So
puedo,may l
cómo,as
quiero,I want
sólo,single
soy,soy
tiene,have
gracias,thank you
o,The
él,the
bueno,well
fue,It was
ser,to be
hacer,make
son,son
todos,all
era,era
eres,are
vez,turn
tienes,do you have
creo,believe
ella,she
he,he
ese,that
voy,go
puede,may
sabes,You know
hola,hour
sus,their
porque,why
dios,god
quién,whose
nunca,Never
dónde,where
quieres,you want
casa,home
favor,favor
esa,that
dos,From
tan,tan
señor,mister
tiempo,weather
verdad,TRUE
estaba,was
